timestamp,prompt_id,temperature,frequency,voltage,throttling,mem_total,mem_used,mem_percent,mem_pid,cpu_usage_pid,swap_total,swap_used,swap_percent,cpu_usage,fan_speed
1746016970969212052,0,53.2,154619020388,0.8392,524288,8455307264,2994962432,36.5,62111744,0.0,1073725440,651165696,60.6,0.0,1891
1746016971987143809,0,54.3,154618917896,0.8392,524288,8455307264,3094151168,37.7,62111744,0.0,1073725440,651165696,60.6,23.6,1890
1746016973004217827,0,54.3,154619020388,0.8392,524288,8455307264,3261218816,39.7,62111744,0.0,1073725440,651165696,60.6,3.4,1890
1746016974021046253,0,54.9,154618917896,0.8392,524288,8455307264,3403268096,41.3,62111744,0.0,1073725440,651165696,60.6,3.0,1890
1746016975038119473,0,54.9,154618968072,0.8392,524288,8455307264,3520856064,42.7,62111744,0.0,1073725440,651165696,60.6,2.5,1891
1746016976055034174,0,53.2,98784343954,0.743,524288,8455307264,3685138432,44.7,62111744,0.0,1073725440,651165696,60.6,3.5,1891
1746016977085802020,0,53.2,94489425234,0.7292,524288,8455307264,3803758592,46.1,62111744,0.0,1073725440,651165696,60.6,2.0,1889
1746016978105567781,0,53.8,90194454102,0.72,524288,8455307264,3923165184,47.5,62111744,0.0,1073725440,651165696,60.6,1.7,1890
1746016979124909988,0,53.2,90194416726,0.72,524288,8455307264,4030906368,48.8,62111744,0.0,1073725440,651165696,60.6,3.5,1889
1746016980143454085,0,52.7,90194416726,0.72,524288,8455307264,4033118208,48.8,62111744,0.0,1073725440,651165696,60.6,1.0,1890
1746016981161975775,0,52.7,90194454102,0.72,524288,8455307264,4033855488,48.8,62111744,0.0,1073725440,651165696,60.6,0.2,1889
1746016983156305440,0,52.7,90194454102,0.72,524288,8455307264,4032217088,48.8,62111744,0.0,1073725440,651165696,60.6,0.4,1888
1746016984175616919,0,52.7,90194454102,0.72,524288,8455307264,4096655360,49.5,62111744,0.0,1073725440,651165696,60.6,2.7,1890
1746016985194269733,0,52.1,90194388992,0.72,524288,8455307264,4096196608,49.5,62111744,0.0,1073725440,651165696,60.6,0.5,1888
1746016986212926361,0,52.1,90194416726,0.72,524288,8455307264,4095836160,49.5,62111744,0.0,1073725440,651165696,60.6,0.5,1890
1746016987231334008,0,51.6,94489374756,0.7292,524288,8455307264,4187062272,50.6,62111744,0.0,1073725440,651165696,60.6,2.2,1888
1746016988250804631,0,52.1,94489374756,0.7292,524288,8455307264,4318167040,52.2,62111744,0.0,1073725440,651165696,60.6,2.9,1890
1746016989269927532,0,51.6,94489360022,0.7292,524288,8455307264,4441030656,53.6,62111744,0.0,1073725440,651165696,60.6,1.2,1889
1746016990292097141,0,52.1,90194416726,0.72,524288,8455307264,4468129792,53.9,62111744,0.0,1073725440,670040064,62.4,0.7,1890
1746016991310810856,0,51.6,90194388992,0.72,524288,8455307264,4464721920,53.9,62111744,0.0,1073725440,670040064,62.4,1.2,1889
1746016992329389442,0,51.6,90194403624,0.72,524288,8455307264,4464377856,53.9,62111744,0.0,1073725440,670040064,62.4,0.7,1890
1746016996108048605,0,51.6,90194416726,0.72,524288,8455307264,4584882176,55.3,62111744,0.0,1073725440,670040064,62.4,1.3,1889
1746016997126790815,0,52.1,90194403624,0.72,524288,8455307264,4670734336,56.3,62111744,0.0,1073725440,670040064,62.4,2.2,1888
1746016998145631542,0,51.6,94489425234,0.7292,524288,8455307264,4786012160,57.7,62111744,0.0,1073725440,670040064,62.4,2.0,1889
1746016999167571884,0,51.6,94489412132,0.7292,524288,8455307264,4926275584,59.3,62111744,0.0,1073725440,670040064,62.4,2.9,1889
1746017000189055283,0,52.1,94489360022,0.7292,524288,8455307264,5101158400,61.4,62111744,0.0,1073725440,670040064,62.4,3.7,1889
1746017001208333764,0,52.7,154619033490,0.8392,524288,8455307264,6061621248,73.2,62111744,0.0,1073725440,673185792,62.7,7.2,1888
1746017002225274754,0,52.7,154618968072,0.8392,524288,8455307264,6067290112,73.2,62111744,0.0,1073725440,673185792,62.7,1.0,1889
1746017006517752760,0,66.4,154618917896,0.8392,524288,8455307264,6039175168,72.5,62111744,0.0,1073725440,785383424,73.1,80.0,3362
1746017007542451897,0,68.6,154618982710,0.8392,524288,8455307264,6035488768,72.4,62111744,0.0,1073725440,785383424,73.1,100.0,3377
1746017008560306341,0,70.3,154618954880,0.8392,524288,8455307264,6031851520,72.4,62111744,0.0,1073725440,785383424,73.1,100.0,4458
1746017009578507633,0,71.4,154618982710,0.8392,524288,8455307264,6019104768,72.2,62111744,0.0,1073725440,785383424,73.1,100.0,4790
1746017010602630122,0,71.9,154619033490,0.8392,524288,8455307264,6009913344,72.1,62111744,0.0,1073725440,785383424,73.1,100.0,4803
1746017011625270338,0,74.1,154618954880,0.8392,524288,8455307264,6008160256,72.1,62111744,0.0,1073725440,785383424,73.1,100.0,4822
1746017012649399807,0,74.1,154619020388,0.8392,524288,8455307264,6009634816,72.1,62111744,0.0,1073725440,785383424,73.1,100.0,4833
1746017013668121223,0,74.1,154618982710,0.8392,524288,8455307264,6004473856,72.1,62111744,0.0,1073725440,785383424,73.1,100.0,4844
1746017014689273961,0,75.2,154618968072,0.8392,524288,8455307264,6004113408,72.1,62111744,0.0,1073725440,785383424,73.1,99.0,4861
1746017015708358855,0,75.2,154619020388,0.8392,524288,8455307264,6002032640,72.0,62111744,0.0,1073725440,785383424,73.1,99.3,4871
1746017016740208583,0,76.3,154619020388,0.8392,524288,8455307264,5998346240,72.0,62111744,0.0,1073725440,785383424,73.1,99.3,6567
